#%guid=0000008635-1147465503-0655288913-0260172332-1489521149 3
#%exec_guid=0000008635-1147465503-1723228888-0762909110-1077155963 3
#%exec_version=apt-1.4.0 $Id: exon.summary3.txt,v 1.1 2006-05-22 21:58:11 pklost Exp $ 3
#%create_date=Fri May 12 13:18:36 2006 3
#%cmd=apt-probeset-summarize -a pm-gcbg,iter-plier -a pm-gcbg,plier -o now -report -p HuEx-1_0-st-v2.pgf -c HuEx-1_0-st-v2.clf -b antigenomic.bgp -f huex_wta_lung_A.CEL huex_wta_cerebellum_A.CEL huex_wta_heart_A.CEL huex_wta_kidney_A.CEL huex_wta_liver_A.CEL huex_wta_muscle_A.CEL huex_wta_pancreas_A.CEL huex_wta_prostate_A.CEL huex_wta_spleen_A.CEL huex_wta_testes_A.CEL huex_wta_thyroid_A.CEL huex_wta_tissue_mix1_A.CEL huex_wta_tissue_mix2_A.CEL huex_wta_tissue_mix3_A.CEL huex_wta_tissue_mix4_A.CEL  3
#%chip_type=HuEx-1_0-st-v2 3
#%lib_set_name=HuEx-1_0-st 3
#%lib_set_version=v2 3
############################################################ 3
probeset_id	huex_wta_lung_A3.CEL	huex_wta_cerebellum_A3.CEL	huex_wta_heart_A3.CEL	huex_wta_kidney_A3.CEL	huex_wta_liver_A3.CEL	huex_wta_muscle_A3.CEL	huex_wta_pancreas_A3.CEL	huex_wta_prostate_A3.CEL	huex_wta_spleen_A3.CEL	huex_wta_testes_A3.CEL	huex_wta_thyroid_A3.CEL	huex_wta_tissue_mix1_A3.CEL	huex_wta_tissue_mix2_A3.CEL	huex_wta_tissue_mix3_A3.CEL	huex_wta_tissue_mix4_A3.CEL
2391484	2213	2053	963	963	2203	2303	1793	2133	1973	3683	3783	2043	1663	1673	2423
2789573	33	153	23	63	13	33	43	23	23	93	43	23	33	43	43
3242460	13	213	3	43	33	33	3	13	3	163	3	103	153	23	73
2914721	33	23	3	13	73	53	193	53	63	33	43	143	33	3	93
4032627	13	23	13	3	43	13	3	3	3	3	23	13	3	13	83
3487540	103	23	63	33	203	153	63	3	73	243	173	203	233	33	83
2409674	73	473	33	53	173	3	83	53	13	53	73	173	153	133	123
3888153	503	4483	1393	1183	2183	1063	1143	253	1853	9233	2253	7093	4953	3273	3123
3373107	3	53	43	3	3	23	3	23	33	7563	73	3633	1563	1843	1023
2379846	33	13	3	23	13	13	33	23	3	3	3	3	43	3	3
2506973	63	573	13	93	53	13	53	43	33	153	23	273	193	143	233
3198423	33	1703	13	63	23	3	33	3	3	83	23	623	993	353	773
3525559	343	2783	783	1043	1783	953	893	433	1793	1993	1483	2293	1833	1293	1893
3511823	13	3	23	3	3	3	3	3	53	33	3	3	3	3	3
3442337	23	153	3	23	13	33	43	23	23	243	53	303	183	123	133
3413163	3	73	33	3	33	13	33	3	23	13	43	13	13	53	3
3037838	43	23	23	73	13	43	53	73	3	73	53	13	33	83	33
2844443	43	873	23	23	143	83	53	63	23	53	123	213	373	263	353
2336170	2673	6933	2293	5243	14253	11483	4333	2373	5023	7773	10083	6383	5243	4413	4753
3301701	53	133	23	63	63	13	23	13	3	3	53	73	93	13	33
2413227	3	43	3	13	23	13	3	13	3	3	33	13	3	23	3
3839239	3	373	113	23	213	503	53	63	73	73	383	163	63	53	133
3227647	53	2693	283	583	1393	1523	493	143	773	1093	1233	2013	1403	1043	1753
3839369	23	113	43	3	3	8673	3	263	23	33	673	53	43	83	63
3876257	53	4163	63	3	53	73	273	13	83	53	43	1463	2123	953	1613
3029170	83	73	63	113	53	53	83	53	173	223	63	83	163	93	53
3723703	143	553	143	83	323	133	213	103	343	443	93	383	523	383	483
2849826	43	113	53	3	3	23	13	93	33	153	13	133	103	53	83
3047225	43	363	43	3	113	13	93	3	13	133	233	103	153	73	43
2534215	193	903	33	103	203	123	243	73	313	383	413	493	583	373	723
2620456	3623	9103	3613	4933	8023	5973	8173	3563	5073	6523	7323	6273	7103	6113	7143
2830090	3	13	3	3	43	33	33	13	3	3	3	3	3	3	3
2575215	293	2503	443	773	963	1143	733	433	763	5733	1143	3313	2713	2323	2003
2849041	23	93	13	173	43	13	63	3	23	143	53	113	73	113	33
3102546	153	883	93	233	763	323	363	93	163	853	223	643	613	443	763
2925428	13	3	3	3	23	13	23	13	13	3	83	23	3	13	3
2372272	4533	26313	1743	8803	5873	4773	9933	5373	5613	7193	6933	13653	16503	10933	16243
3360788	83	1843	103	83	703	493	293	313	673	1873	553	1473	1313	1003	1083
3443892	133	313	73	113	113	93	33	443	213	83	393	123	173	103	43
3298798	53	563	23	213	143	123	153	103	163	533	153	333	423	233	263
3019819	123	243	73	73	43	183	193	123	93	223	113	83	93	43	183
3173936	13	83	13	53	33	33	23	33	43	113	13	83	33	43	43
2424908	63	133	93	153	83	23	73	93	33	103	113	63	53	43	53
2950903	3	83	13	13	13	53	3	13	3	3	233	23	3	3	13
2857391	73	103	63	83	103	53	73	93	73	273	193	63	103	113	133
3742899	63	123	43	103	93	33	83	3	93	143	33	13	283	83	173
2571091	33	1073	53	63	463	213	163	63	133	863	223	633	413	243	633
3255478	23	593	43	33	3	3	53	63	73	73	103	143	243	103	123
3122387	103	543	103	133	163	123	303	73	143	303	143	483	343	293	473
3195817	2123	10363	943	3513	1463	2203	2413	3103	4213	9863	2563	8693	6873	5003	6323
2944655	13	3	3	43	13	53	43	23	13	3	3	3	3	13	33
2317746	3	3	3	3	53	3	3	3	3	3	3	3	133	33	53
2383539	223	853	103	243	133	103	183	33	313	223	453	533	413	213	393
2817630	3	53	23	3	3	13	3	3	13	23	33	3	3	23	13
3860875	3	203	23	23	33	13	43	43	53	133	63	133	103	63	113
2876363	63	253	23	33	143	913	153	93	23	143	2203	173	263	63	73
3239787	363	333	83	13	2553	123	143	173	4153	23	433	203	153	93	163
4021253	13	3	3	3	33	13	13	53	13	83	3	3	3	13	23
3700367	323	1033	253	123	733	313	803	473	433	813	473	693	793	673	493
4003189	3	43	3	3	33	3	13	3	13	43	3	13	33	3	3
3285169	33	243	33	63	43	3	43	83	63	113	63	63	53	103	43
3670031	533	2093	133	373	263	103	413	353	223	473	393	683	1073	653	803
3424576	43	13	23	23	33	3	23	3	3	23	3	33	43	13	33
3149532	933	1243	133	543	273	293	143	303	583	543	913	483	553	433	393
2836859	53	203	33	113	153	143	143	73	113	423	163	303	233	153	203
2744693	43	103	43	53	63	13	13	23	43	43	3	73	103	3	53
3257794	173	1563	63	203	63	303	203	103	323	433	243	633	583	203	293
