#Region	Chromosome	Start	Stop	CN-Probes	SNP-Probes
CNV71	chr1	94842787	94867420	CN_500851,CN_500852,CN_500853,CN_031564,CN_500857,CN_500859,CN_500866,CN_500867,CN_500873,CN_500868,CN_500869,CN_500870,CN_500871,CN_500876,CN_500877,CN_500880,CN_500878,CN_500879,CN_500881,CN_500882,CN_500883,CN_500884,CN_500886,CN_500888,CN_502960,CN_500889,CN_500890,CN_500891,CN_502966	SNP_A-8495857,SNP_A-2315040,SNP_A-4247890,SNP_A-8450142,SNP_A-2031615,SNP_A-1915154,SNP_A-8659308,SNP_A-8294027,SNP_A-8627926,SNP_A-1930498
CNV76	chr1	103821259	103871405	CN_433519,CN_433520,CN_433521,CN_433523,CN_433524,CN_433525,CN_433528,CN_433529,CN_433532,CN_433537,CN_433538,CN_433539	SNP_A-8496179,SNP_A-8524030,SNP_A-2267046,SNP_A-8563962
CNV79	chr1	105731226	105734396	CN_439585,CN_439586,CN_439587,CN_439588,CN_439589,CN_439591,CN_439592,CN_439593,CN_439594,CN_439595,CN_439596,CN_439597,CN_439598,CN_439599,CN_439600	
CNV81	chr1	106021308	106027130	CN_440848,CN_440849,CN_440850,CN_440852	
CNV84	chr1	108446277	108449538	CN_001650,CN_449089,CN_449090	
CNV88	chr1	109936426	109954995	CN_433591,CN_433592,CN_433593,CN_433594,CN_433595,CN_433600,CN_433599,CN_433601,CN_433602,CN_433604,CN_433606,CN_433607	SNP_A-8703630
CNV91	chr1	111089607	111100268	CN_437279,CN_437280,CN_437282,CN_437283,CN_437284,CN_437285,CN_437286,CN_437287,CN_437288,CN_437290,CN_437291,CN_437289,CN_437297,CN_437295,CN_437296,CN_437299,CN_437301,CN_437303,CN_437308,CN_437309,CN_437305,CN_437310,CN_437312,CN_437313,CN_437315,CN_437316	
CNV94	chr1	112407719	112409432	CN_441079,CN_441075,CN_441076,CN_441077,CN_441078,CN_441083,CN_441084,CN_441085,CN_441082,CN_441091,CN_441086,CN_441087,CN_441088,CN_441090,CN_441097,CN_441098	SNP_A-4261785
CNV104	chr1	145816116	146039008	CN_005061,CN_441269,CN_441268,CN_441275,CN_441271,CN_441272,CN_441273,CN_441274,CN_441276,CN_441278,CN_441279,CN_441280,CN_005068,CN_441281,CN_441284,CN_441285,CN_441287,CN_005074,CN_441288,CN_441289,CN_441290,CN_441292,CN_005078,CN_441293,CN_441294,CN_441295,CN_005083,CN_441297,CN_441298,CN_005085,CN_441300,CN_441303,CN_441305,CN_441306,CN_005092,CN_441307,CN_441308,CN_441309,CN_441310,CN_441314,CN_441315,CN_441316,CN_441317,CN_441319,CN_441322,CN_441323,CN_441325,CN_441326,CN_005106,CN_441327,CN_441328,CN_441331,CN_441332,CN_441334,CN_441335,CN_441336,CN_441337,CN_441340,CN_441344,CN_441348,CN_441346,CN_441351,CN_441350,CN_441352,CN_441353,CN_441354,CN_441355,CN_441357,CN_441361,CN_441362,CN_441365,CN_441366,CN_441368,CN_441369,CN_442584,CN_442585,CN_442586,CN_442587,CN_442588,CN_442592,CN_442597,CN_442598,CN_442599,CN_005131,CN_442601,CN_442603	SNP_A-2078169,SNP_A-8641261,SNP_A-8380783,SNP_A-8706696,SNP_A-2075068,SNP_A-4242078,SNP_A-8601688
CNV109	chr1	149368779	149399667	CN_452249,CN_452250,CN_452251,CN_452254,CN_452252,CN_452253,CN_452255,CN_452258,CN_452259,CN_452261,CN_452262,CN_452266,CN_452263,CN_452264,CN_452265,CN_452267,CN_452270,CN_452268,CN_452269,CN_452271,CN_452272,CN_452273,CN_453508,CN_453509,CN_453510,CN_453511,CN_453512,CN_453513,CN_453514,CN_453515,CN_453516	
CNV110	chr1	149574996	149581773	CN_453607,CN_453608,CN_453609,CN_453605,CN_453606,CN_453616,CN_453612,CN_453613,CN_453614,CN_453619,CN_453622,CN_453617,CN_453620,CN_453621,CN_453623,CN_453624,CN_453625,CN_453626,CN_453627,CN_453629,CN_453628,CN_453630,CN_453631,CN_453632,CN_453633,CN_453635,CN_453636,CN_453638,CN_453639,CN_453640	
CNV113	chr1	152474300	152476430	CN_441470,CN_441471,CN_441472	
CNV114	chr1	155330069	155333490	CN_450947,CN_450949,CN_450953,CN_450954,CN_450955,CN_450951,CN_450952,CN_450960,CN_450956,CN_450958,CN_450959	SNP_A-1895604
CNV118	chr1	158324465	158349945	CN_439110,CN_439111,CN_439112,CN_439115,CN_439117,CN_439118,CN_439119,CN_439120,CN_439124,CN_439126,CN_439129,CN_439130	SNP_A-4268108,SNP_A-8579698,SNP_A-1968937,SNP_A-1881726,SNP_A-8600545,SNP_A-8584267,SNP_A-4252976
CNV119	chr1	158350553	158371226	CN_439133,CN_439134,CN_439135,CN_439136,CN_439137,CN_439138,CN_439140,CN_439142,CN_439143,CN_430474,CN_439145,CN_439146,CN_439148,CN_439150,CN_439151,CN_439152	SNP_A-1968946
CNV120	chr1	162916139	162926028	CN_435534,CN_435536,CN_435537	SNP_A-2249490,SNP_A-4272367,SNP_A-2309254
CNV122	chr1	165965632	165973424	CN_445728,CN_445729,CN_445730,CN_445732	SNP_A-2031595,SNP_A-8613750
CNV124	chr1	171528213	171533497	CN_443247,CN_443248,CN_443249,CN_443250,CN_443251,CN_443252,CN_443253,CN_443254,CN_444478,CN_444480,CN_443255,CN_443256,CN_443257,CN_444479,CN_444485,CN_444481	
CNV128	chr1	176062185	176064972	CN_440765,CN_440766,CN_440767	SNP_A-4203074
CNV134	chr1	186058792	186107304	CN_487521,CN_487522,CN_011429,CN_487523,CN_487527,CN_487530,CN_454335,CN_454336,CN_011434	SNP_A-2179547,SNP_A-8534432
CNV135	chr1	186125352	186184800	CN_454351,CN_011444,CN_011445,CN_454353,CN_454354,CN_454355,CN_454357,CN_454360,CN_454362,CN_454363,CN_454364,CN_454365,CN_454366,CN_454367,CN_454370,CN_454371,CN_454373,CN_454372,CN_454374	SNP_A-8528738,SNP_A-8405148,SNP_A-2048159,SNP_A-1960329,SNP_A-4240056,SNP_A-8419463,SNP_A-8642176
CNV141	chr1	188560726	188598907	CN_469869,CN_469872,CN_469873,CN_011832,CN_469874,CN_469876	SNP_A-8684070,SNP_A-1929594
CNV145	chr1	192141362	192147402	CN_012384,CN_458879,CN_458881,CN_458882	
CNV147	chr1	193462692	193533729	CN_465606,CN_465609,CN_465610,CN_465611,CN_465612,CN_465613,CN_465614,CN_465615,CN_465616,CN_465617,CN_465618,CN_465619,CN_465620,CN_465621,CN_465622,CN_465623,CN_465624,CN_465625,CN_465626,CN_465627,CN_465628,CN_465629,CN_465630,CN_465631,CN_465632,CN_465633,CN_465634,CN_465635,CN_465636,CN_465637,CN_465638,CN_465639,CN_465640,CN_465641,CN_465644,CN_465645,CN_467727,CN_467728,CN_467729,CN_012632,CN_467730,CN_467731,CN_467733,CN_467739,CN_467741,CN_467742,CN_467743,CN_467744,CN_467747,CN_467754,CN_467749,CN_467750,CN_467751,CN_467753,CN_467755,CN_467757,CN_467758,CN_467759,CN_467760,CN_467761,CN_467762,CN_467763,CN_467764,CN_467765,CN_467771,CN_467766,CN_467767,CN_467768,CN_467769,CN_467770,CN_467777,CN_467775	SNP_A-2114090,SNP_A-8295751
CNV148	chr1	193554974	193579128	CN_467781,CN_467782,CN_467783,CN_467784,CN_467788,CN_467789,CN_467791,CN_467793	SNP_A-2257497,SNP_A-2042957,SNP_A-4228487,SNP_A-4194269,SNP_A-8296672,SNP_A-1841011,SNP_A-1781581,SNP_A-8411258,SNP_A-2249917,SNP_A-4242244,SNP_A-8306974,SNP_A-8510975,SNP_A-1802047,SNP_A-2046262,SNP_A-1952394,SNP_A-4281127,SNP_A-8585377
CNV149	chr1	193588855	193633406	CN_467798,CN_467800,CN_467801,CN_012663,CN_467802,CN_012665,CN_467804,CN_467805,CN_012667,CN_467806,CN_467807,CN_467808,CN_467810,CN_467811,CN_467812,CN_467813,CN_467814	SNP_A-1784833,SNP_A-8485726,SNP_A-4210538
CNV151	chr1	195843083	195845497	CN_013043,CN_481117,CN_481118,CN_013044,CN_481119,CN_481121,CN_481122	
CNV158	chr1	206470008	206472379	CN_470264,CN_470265,CN_470266	
CNV160	chr1	211881864	211887499	CN_463825,CN_463826,CN_463827,CN_463829	
CNV164	chr1	219405720	219411999	CN_472728,CN_472729	
CNV168	chr1	226123591	226126931	CN_472899,CN_472901	
CNV174	chr1	235178308	235182135	CN_488591,CN_488592,CN_488593	SNP_A-8602855
CNV175	chr1	236720056	236720180	CN_464262,CN_464257,CN_464258,CN_464259,CN_464260	
CNV180	chr1	244947200	244961762	CN_475607,CN_475608,CN_475609,CN_475612	SNP_A-8527282
CNV182	chr1	245075235	245123254	CN_477707,CN_020537,CN_477708,CN_477711,CN_477709,CN_477710,CN_477712,CN_477713,CN_477714,CN_477715,CN_477716,CN_477717,CN_477719,CN_477720,CN_020547,CN_477721,CN_477724,CN_477726,CN_477727,CN_477728,CN_477729,CN_477730,CN_477731,CN_477733,CN_477734,CN_477735,CN_477736,CN_477737,CN_020560,CN_477738	
CNV183	chr1	245193282	245198705	CN_477766,CN_477767,CN_477768,CN_477769	
CNV186	chr2	3707233	3716536	CN_857286,CN_857288,CN_857298,CN_857315,CN_859423,CN_859425,CN_859450,CN_859456,CN_859457	
CNV187	chr2	4411266	4411511	CN_861900,CN_861901,CN_861895,CN_861897,CN_861898,CN_861899	
CNV189	chr2	6248910	6258452	CN_857832,CN_857833,CN_857841,CN_857836,CN_857838,CN_857839,CN_857849,CN_857850,CN_857851,CN_857853,CN_200105,CN_857856,CN_857863,CN_857859,CN_857862,CN_857878,CN_857875,CN_857876,CN_200111	SNP_A-8518807,SNP_A-2280733,SNP_A-8354755,SNP_A-8474270
CNV194	chr2	16983359	16983816	CN_804780	SNP_A-1962280,SNP_A-1919976
CNV200	chr2	24518633	24522779	CN_861405,CN_861410,CN_861414,CN_861411,CN_861413,CN_861417	
CNV201	chr2	26288155	26290398	CN_870400,CN_870401,CN_870402	SNP_A-2139886
CNV207	chr2	34610970	34648708	CN_841624,CN_841626,CN_841627,CN_841628,CN_841629,CN_843730,CN_843727,CN_843729,CN_843732,CN_196070,CN_843737,CN_843740,CN_843741,CN_843742,CN_843743,CN_843744,CN_843746,CN_843747,CN_843749,CN_843750,CN_843751,CN_843753,CN_843754,CN_843755,CN_843756,CN_843757,CN_843758,CN_843759,CN_843761	SNP_A-8320969,SNP_A-8628922
CNV209	chr2	35493646	35516821	CN_848280,CN_848275,CN_848277,CN_848278,CN_848282,CN_848283,CN_848285,CN_848286,CN_848293,CN_848294,CN_848288,CN_848289,CN_848290,CN_848291,CN_848296,CN_848297,CN_848298,CN_848299,CN_848300,CN_848301,CN_848303,CN_848305	SNP_A-8564088,SNP_A-8493077,SNP_A-2247724,SNP_A-1962676,SNP_A-1962678,SNP_A-8335457
CNV211	chr2	35889441	35899598	CN_850567,CN_850568,CN_850570,CN_850571	
CNV212	chr2	36248270	36251205	CN_852820,CN_852821,CN_852822,CN_852823,CN_852829,CN_852824,CN_852825,CN_852828,CN_852830	SNP_A-8660612,SNP_A-8519968
CNV215	chr2	38785450	38788251	CN_868420,CN_868421	
CNV216	chr2	41150094	41157538	CN_846151,CN_846156,CN_846153,CN_846157,CN_846158,CN_846164,CN_846161,CN_846162,CN_846166,CN_846167,CN_846169,CN_846168,CN_846171,CN_846172	
CNV221	chr2	49447419	49452841	CN_855254,CN_855255,CN_855256,CN_855257	SNP_A-8468062,SNP_A-4208071
CNV222	chr2	51563676	51563760	CN_866533,CN_866536,CN_866537,CN_866538	
CNV223	chr2	52663221	52693193	CN_837541,CN_837544,CN_837540,CN_837542,CN_837543,CN_837545,CN_837549,CN_837551,CN_837552,CN_837546,CN_837547,CN_837548,CN_837550,CN_837554,CN_837556,CN_837557,CN_837558,CN_837559,CN_837560,CN_837561,CN_837562,CN_837563,CN_837564,CN_837565,CN_837566,CN_837567,CN_837568,CN_837569,CN_837574,CN_837577,CN_837570,CN_837571,CN_837572,CN_837573,CN_837575	
CNV225	chr2	55826441	55850230	CN_855519,CN_855520,CN_857605,CN_857606,CN_857607,CN_857608	SNP_A-2296202,SNP_A-2060834
CNV228	chr2	59538308	59538803	CN_842119,CN_842120,CN_842122	
CNV235	chr2	75277845	75278262	CN_855850,CN_855844,CN_855845,CN_855846,CN_855847,CN_855848	
CNV236	chr2	75293332	75293451	CN_855887,CN_855888,CN_855889,CN_855890,CN_855891	
CNV243	chr2	79242433	79253754	CN_844759,CN_844760,CN_844761,CN_844762,CN_844763	SNP_A-8515158
CNV248	chr2	87285551	87325650	CN_853918,CN_853919,CN_853920,CN_853922,CN_853924,CN_853926,CN_853927,CN_853930,CN_853931,CN_853932	SNP_A-8713180
CNV250	chr2	87426037	87434600	CN_856091,CN_856092,CN_856095	
CNV251	chr2	87466971	87469919	CN_204107,CN_856106,CN_856107	
CNV253	chr2	87659080	87667240	CN_856146,CN_856149,CN_856150	
CNV257	chr2	89694514	89970218	CN_865118,CN_865119,CN_204745,CN_865120,CN_204747,CN_865123,CN_204750,CN_865124,CN_865126,CN_865127,CN_865128,CN_865129,CN_865132,CN_865133,CN_865134,CN_865135,CN_865136,CN_865137,CN_865139,CN_865141,CN_865142,CN_865144,CN_865145,CN_865146,CN_865147,CN_865148,CN_865150,CN_865151,CN_865152,CN_865153,CN_865154,CN_204781,CN_865156,CN_865157,CN_865158,CN_865159,CN_865161,CN_865166,CN_865162,CN_865163,CN_865164,CN_865165,CN_865167,CN_865168,CN_865169,CN_865170,CN_865171,CN_865172,CN_865173,CN_865174,CN_865176,CN_865177,CN_865178,CN_865179,CN_865180,CN_865182,CN_865186,CN_865183,CN_865184,CN_867298,CN_867300,CN_867301,CN_867302,CN_867297,CN_867303,CN_867306,CN_867308,CN_867309,CN_867310,CN_867313,CN_867312,CN_867314,CN_867316,CN_867317,CN_867320,CN_204812,CN_867322,CN_867323,CN_867327,CN_867324,CN_867325,CN_867326,CN_867328,CN_204821,CN_204823,CN_204824,CN_867330,CN_867331,CN_204825,CN_867332,CN_867334,CN_867335,CN_867333,CN_867336,CN_867337,CN_867338,CN_867339,CN_867340,CN_867341,CN_867342,CN_867343,CN_867344,CN_867345,CN_867346,CN_867347,CN_867348,CN_867349,CN_867350,CN_867351,CN_867352,CN_204835,CN_867353,CN_867354,CN_867355,CN_867357,CN_867358,CN_867359,CN_867360,CN_867361,CN_867363,CN_867364,CN_867366	SNP_A-8643871,SNP_A-8347524,SNP_A-4298862,SNP_A-4200647,SNP_A-2172864,SNP_A-8574505,SNP_A-1964181,SNP_A-2139762
CNV262	chr2	97599265	97620228	CN_882893,CN_882894,CN_882897,CN_882898,CN_882899,CN_882900	
CNV263	chr2	98335740	98336348	CN_887293,CN_887286,CN_887289,CN_887292,CN_887294	
CNV267	chr2	106339231	106343875	CN_807817,CN_807818,CN_807820,CN_172556,CN_807821,CN_807825,CN_807823,CN_807826	
CNV276	chr2	115112651	115117229	CN_812275,CN_812277,CN_812278,CN_812281,CN_812282,CN_812283,CN_812284,CN_812290,CN_812285,CN_812286,CN_812287,CN_812288,CN_812289	
CNV279	chr2	123192648	123198471	CN_823274,CN_823281,CN_823282,CN_823276,CN_823277,CN_823278,CN_823279,CN_823280	
CNV284	chr2	129354708	129356527	CN_823408,CN_823409,CN_823412,CN_823410,CN_823417,CN_823418,CN_823419,CN_823415,CN_823416,CN_823420	SNP_A-8456747
CNV286	chr2	130265505	130275476	CN_827850,CN_827851,CN_827852,CN_827853	SNP_A-8656136,SNP_A-8637713,SNP_A-8488989
CNV287	chr2	130510113	130539465	CN_829992,CN_829993,CN_829997,CN_829998	
CNV289	chr2	132055740	132060100	CN_801729,CN_801730,CN_801733	
CNV290	chr2	133115064	133117998	CN_806110,CN_806111,CN_806112,CN_806115,CN_806114,CN_806116,CN_806117,CN_806118,CN_806119,CN_806120,CN_806121,CN_806122,CN_806123	SNP_A-4241425,SNP_A-1859615,SNP_A-2212904,SNP_A-2161816
CNV296	chr2	146698136	146700666	CN_812894,CN_812892,CN_812893,CN_812898,CN_812897,CN_812899,CN_812903,CN_812904,CN_812905,CN_812907,CN_812908,CN_812909,CN_812910,CN_812911,CN_812913,CN_812914	
CNV313	chr2	172660350	172665892	CN_820016,CN_820017	
CNV315	chr2	174418454	174423075	CN_830920,CN_830921,CN_830922	SNP_A-2063268
CNV319	chr2	179892698	179904650	CN_826643,CN_826644,CN_826645	
CNV320	chr2	180243717	180247643	CN_826762,CN_826763,CN_826764,CN_826765,CN_826766,CN_826767,CN_826769,CN_826771,CN_826772,CN_826773,CN_828814,CN_828815,CN_828816,CN_828817,CN_184638,CN_828818,CN_828821,CN_828822,CN_184639,CN_828823,CN_828824,CN_828825	
CNV323	chr2	183911298	183914652	CN_813782	SNP_A-1900201,SNP_A-2106711,SNP_A-4199678,SNP_A-8530141
CNV328	chr2	185082559	185090335	CN_822490,CN_822491,CN_822492,CN_822494,CN_822495,CN_822500,CN_822501,CN_822502,CN_822503	SNP_A-2215994
CNV329	chr2	189393462	189404835	CN_811757,CN_811759,CN_811758,CN_811760,CN_811761,CN_811762,CN_811763,CN_811765,CN_811766,CN_811767,CN_811768,CN_811769,CN_813812,CN_813813,CN_813814,CN_813816,CN_186053,CN_813818	SNP_A-1863061,SNP_A-8596170
CNV332	chr2	203121281	203137707	CN_820705,CN_820706,CN_820707,CN_820709,CN_820710,CN_820712,CN_820713,CN_820718,CN_188182,CN_820720,CN_820721,CN_820722,CN_820724,CN_820729,CN_820730,CN_820731,CN_820725,CN_820726,CN_820727,CN_820728,CN_820732,CN_820733,CN_820735,CN_820740,CN_820743	
CNV333	chr2	203725306	203727552	CN_825032,CN_825033,CN_825034	
CNV336	chr2	208175753	208176258	CN_847331,CN_847332	SNP_A-8302877
CNV337	chr2	208180684	208184842	CN_847338,CN_847340,CN_847341,CN_847342,CN_847344,CN_847345,CN_847347,CN_847348,CN_847349,CN_847350,CN_847351	SNP_A-8577410
CNV340	chr2	213012055	213017318	CN_838518,CN_838519,CN_838520,CN_838522,CN_838523,CN_838524,CN_838525,CN_838526,CN_838529,CN_838530,CN_838532,CN_838534,CN_838535	SNP_A-1926033,SNP_A-8470090,SNP_A-4227680,SNP_A-1946332,SNP_A-8454529
CNV360	chr3	205022	207800	CN_988375,CN_990481,CN_990507,CN_990508	
CNV363	chr3	1658250	1666567	CN_1002725,CN_1002732,CN_1002786,CN_1004918,CN_1007101,CN_1007137	SNP_A-8466842,SNP_A-8599589
CNV364	chr3	4167639	4172015	CN_1041705,CN_1041717,CN_1041725,CN_1041726	
CNV368	chr3	6200911	6215260	CN_1044385,CN_1044415,CN_1044416,CN_1044428,CN_1044422,CN_1044423,CN_1044424,CN_1044425,CN_1044426,CN_1044427,CN_1044449,CN_1044443,CN_1044444,CN_1044445,CN_1044458,CN_1044459,CN_1044460,CN_1044461,CN_1044462	SNP_A-1936166,SNP_A-8616890,SNP_A-8616891,SNP_A-4247287
CNV369	chr3	6626128	6628332	CN_1033443,CN_1033437,CN_1033438,CN_1033439,CN_1033440,CN_1033441,CN_1033444,CN_1033445,CN_1033446,CN_1033447,CN_1033448,CN_1033450,CN_250658,CN_1033452,CN_1033455,CN_1033456,CN_1033457,CN_1033458	
CNV379	chr3	17504952	17519017	CN_985590,CN_985634,CN_985639	
CNV385	chr3	26409128	26414347	CN_992773,CN_992774,CN_992776	SNP_A-8437291
CNV386	chr3	26586501	26586902	CN_244450,CN_992832,CN_992833,CN_992834	
CNV399	chr3	37957108	37961932	CN_1017291,CN_1017292,CN_1017293,CN_246167,CN_1017295,CN_246168,CN_1017296,CN_1017297	SNP_A-8702654,SNP_A-8599263,SNP_A-4258531,SNP_A-2183485
CNV406	chr3	46776821	46824285	CN_1030789,CN_1030792,CN_1030790,CN_1030791,CN_1030793,CN_1030794,CN_1030795,CN_1030796,CN_1030797,CN_1030798,CN_1030799,CN_1030800,CN_1030801,CN_1030802,CN_1030803,CN_1030804,CN_1030805,CN_1030806,CN_1030807,CN_1030808,CN_1030811,CN_1030814,CN_1030816,CN_1030817,CN_1030818,CN_1030819,CN_1030820,CN_1030823,CN_1030822,CN_1032910,CN_1032911,CN_1032912,CN_1032913,CN_1032915	SNP_A-8676931
CNV413	chr3	53003416	53006896	CN_1026494,CN_1026489,CN_1026490,CN_1026491	SNP_A-2136119
CNV415	chr3	53007065	53016559	CN_1026504,CN_1026501,CN_1026502,CN_1026503,CN_1026505,CN_1026507,CN_1026508,CN_1026511,CN_1026512,CN_1026513,CN_1028605,CN_1028606,CN_1028607,CN_1028609,CN_1028612,CN_1028608,CN_1028610,CN_1028611,CN_1028613,CN_1028614,CN_1028615,CN_1028616,CN_248787,CN_1028620	SNP_A-4287908
CNV422	chr3	65164275	65185492	CN_1028894,CN_1028890,CN_1028891,CN_1028892,CN_1028893,CN_1028895,CN_1028898,CN_1028896,CN_1028897,CN_1028901,CN_1028903,CN_1028905,CN_1028907,CN_1028909,CN_1028911,CN_1028913,CN_1028915,CN_1028916,CN_1028920,CN_1028925,CN_1028930,CN_1028933,CN_1028934,CN_1028938,CN_1028937,CN_1028939	SNP_A-8568712,SNP_A-8303785,SNP_A-2189185
CNV423	chr3	68176289	68176361	CN_1042365,CN_1042366,CN_1042367	
CNV429	chr3	75509797	75565963	CN_1015788,CN_251977,CN_1015790,CN_1015795,CN_1015796,CN_1015797,CN_1015801,CN_1015805,CN_1015806,CN_1015808,CN_1015809,CN_1015811	SNP_A-8682724,SNP_A-8634703,SNP_A-2037560,SNP_A-2183378
CNV430	chr3	75597082	75627866	CN_1015824,CN_1015826,CN_1015825,CN_1015828	SNP_A-8580270,SNP_A-8473957,SNP_A-8395778,SNP_A-2138702,SNP_A-1915388
CNV431	chr3	75655239	75669495	CN_252020,CN_1015838,CN_1015839,CN_1015840,CN_1015842	SNP_A-8549561
CNV432	chr3	75695864	75703585	CN_1015849,CN_1015850	
CNV435	chr3	82955469	82955733	CN_1020427,CN_1020423,CN_1020425,CN_1020426	
CNV437	chr3	84782483	84784826	CN_1029408,CN_1029409,CN_1029415,CN_1029411,CN_1029412,CN_1029413,CN_1029421,CN_1029417,CN_1029420	
CNV441	chr3	89343016	89343351	CN_1018426,CN_1018427	
CNV444	chr3	89754371	89756830	CN_1022887,CN_1022888	SNP_A-2048769,SNP_A-8628169
CNV450	chr3	99370181	99402053	CN_1018438,CN_1018439	SNP_A-4217534
CNV451	chr3	100427148	100432111	CN_945967,CN_945969,CN_945963,CN_945964,CN_945965,CN_945966,CN_945973,CN_945970,CN_945971,CN_945972,CN_945978,CN_945976,CN_945977,CN_945979,CN_945980,CN_945981,CN_945983,CN_945984,CN_945985,CN_945988,CN_945990,CN_945986,CN_945996,CN_945997,CN_945998,CN_945999,CN_945994	SNP_A-8596151
CNV452	chr3	100690157	100691151	CN_948197,CN_948198,CN_948199,CN_948200,CN_948201,CN_948202,CN_948203,CN_948206	SNP_A-8618901
CNV458	chr3	116143282	116151640	CN_1001695,CN_1001698,CN_1001699,CN_1001700,CN_1001704	
CNV462	chr3	127156081	127158661	CN_991056,CN_991057,CN_991058	
CNV463	chr3	127194968	127204560	CN_991077,CN_991078,CN_991082,CN_991083,CN_991084,CN_991079,CN_991081,CN_991086,CN_991087,CN_991088,CN_991091,CN_991103,CN_991096,CN_991097,CN_991098,CN_991099,CN_991100,CN_991101,CN_991102,CN_991106,CN_991104,CN_991105	
CNV468	chr3	129878188	129895029	CN_1006358,CN_1006359,CN_1006361,CN_1006362,CN_231691	SNP_A-4279932
CNV469	chr3	131246396	131288934	CN_978185,CN_231937,CN_231940,CN_978188,CN_978190,CN_978191,CN_978194,CN_978196,CN_978197,CN_978198,CN_978199,CN_978200,CN_978201,CN_231947,CN_978203,CN_978204,CN_978205,CN_978208,CN_978209,CN_978210,CN_231949,CN_978213,CN_978214,CN_980256,CN_980257,CN_978211,CN_978212,CN_980261,CN_980259,CN_980260,CN_980262,CN_980263,CN_980264,CN_980267,CN_980266,CN_980268,CN_980272,CN_980273,CN_980274,CN_980275	SNP_A-8323641,SNP_A-8404074,SNP_A-8705857
CNV474	chr3	133475471	133478382	CN_993322,CN_993323	
CNV493	chr3	150446092	150450815	CN_982847,CN_982848,CN_982849,CN_982850,CN_982851,CN_982852,CN_982856,CN_982857,CN_982853,CN_982854,CN_982859,CN_982860,CN_982861,CN_982862,CN_982863,CN_982864,CN_982866	SNP_A-2235058,SNP_A-1974788,SNP_A-8642847
